Sub-workflow,Module,Software,Functionality,Docker image,References
,AMULET_FILTER_DOUBLETS,"ArchR [10], custom R script",Filter AMULET detected doublets.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_FILTER_CELLS,"ArchR [10], custom R script",Filter out low quality cells.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_FILTER_DOUBLETS,ArchR [10],Filter out doublets using ArchR built-in algorithm.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_DIMENSION_REDUCTION,wrapper around ArchR::addIterativeLSI(),Perform dimension reduction.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_BATCH_CORRECTION,wrapper around ArchR::addHarmony(),Correct batch effect with Harmony.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_CLUSTERING,wrapper around ArchR::addClusters(),Perform clustering analysis.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_EMBEDDING,wrapper around ArchR::addTSNE/addUMAP/plotEmbedding(),Perform single-cell embedding.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_PSEUDO_BULK_CLUSTERS,wrapper around ArchR::addGroupCoverages(),Add pseudo bulks using scATAC-seq clusterings (scATACseq data only).,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_PSEUDO_BULK_CLUSTERS2,wrapper around ArchR::addGroupCoverages(),Add pseudo bulks using integrated scRNA-seq clusterings2 (integrated with scRNAseq data),hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_SCRNASEQ_UNCONSTRAINED,wrapper around ArchR::addGeneIntegrationMatrix(),Perform unconstrained scRNAseq integration.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_SCRNASEQ_CONSTRAINED,wrapper around addGeneIntegrationMatrix,Perform constrained scRNAseq integration.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MARKER_GENE_CLUSTERS,wrapper around ArchR::getMarkerFeatures(),Find marker genes for each scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MARKER_GENE_CLUSTERS2,wrapper around ArchR::getMarkerFeatures(),Find marker genes for each integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_CALL_PEAKS_CLUSTERS,wrapper around ArchR::addReproduciblePeakSet(),Call peaks for each scATAC-seq clusters,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_CALL_PEAKS_CLUSTERS2,wrapper around addReproduciblePeakSet,Call peaks for each integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_GET_MARKER_PEAKS_CLUSTERS,wrapper around ArchR::getMarkerFeatures(),Find marker peaks for each scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_GET_MARKER_PEAKS_CLUSTERS2,wrapper around ArchR::getMarkerFeatures(),Find marker peaks for each integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MARKER_PEAKS_IN_TRACKS_CLUSTERS,wrapper around ArchR::plotBrowserTrack(),Plot marker peaks for each scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MARKER_PEAKS_IN_TRACKS_CLUSTERS2,wrapper around ArchR::plotBrowserTrack(),Plot marker peaks for each integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_PAIRWISE_TEST_CLUSTERS,wrapper around ArchR::getMarkerFeatures(),Perform pairwise testing for selected scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_PAIRWISE_TEST_CLUSTERS2,wrapper around ArchR::getMarkerFeatures(),Perform pairwise testing for selected integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MOTIF_ENRICHMENT_CLUSTERS,wrapper around ArchR::addMotifAnnotations/peakAnnoEnrichment(),Perform motif enrichment analysis using scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MOTIF_ENRICHMENT_CLUSTERS2,wrapper around ArchR::addMotifAnnotations()/peakAnnoEnrichment(),Perform motif enrichment analysis using integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MOTIF_DEVIATIONS_CLUSTERS,wrapper around ArchR::addDeviationsMatrix()/getVarDeviations(),Perform motif deviation analysis using scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_MOTIF_DEVIATIONS_CLUSTERS2,wrapper around ArchR::addDeviationsMatrix()/getVarDeviations(),Perform motif deviation analysis using integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_FOOTPRINTING_CLUSTERS,wrapper around ArchR::getFootprints()/plotFootprints(),Plot footprints using scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_FOOTPRINTING_CLUSTERS2,wrapper around ArchR::getFootprints()/plotFootprints(),Plot footprints using integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_COACCESSIBILITY_CLUSTERS,wrapper around ArchR::addCoAccessibility()/ getCoAccessibility(),Perform peak coaccessibility analysis with scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_COACCESSIBILITY_CLUSTERS2,wrapper around ArchR::addCoAccessibility()/getCoAccessibility(),Perform peak coaccessibility analysis with integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_PEAK2GENELINKAGE_CLUSTERS2,wrapper around ArchR::addPeak2GeneLinks()/getPeak2GeneLinks(),Perform peak2genelinkage analysis with integrated scRNA-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_GET_POSITIVE_TF_REGULATOR_CLUSTERS,wrapper around ArchR::getGroupSE()/correlateMatrices(),Get positive TF regulators with scATAC-seq clusters.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_GET_POSITIVE_TF_REGULATOR_CLUSTERS2,wrapper around ArchR::getGroupSE()/correlateMatrices(),Get positive TF regulators with integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_TRAJECTORY_CLUSTERS2,wrapper around trajectory analysis related ArchR functions,Perform cell trajectory analysis with integrated scRNA-seq clusters2.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
,ARCHR_GET_CLUSTERING_TSV,custom R script,Output a tsv file containing the clustering results.,hukai916/scatacpipe_downstream:0.2,"[10] Granja, J. M., Corces, M. R., Pierce, S. E., Bagdatli, S. T., Choudhry, H., Chang, H. Y., & Greenleaf, W. J. (2021). ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis. Nature Genetics, 53(3), 403–411. https://doi.org/10.1038/s41588-021-00790-6"
Other modules,SPLIT_BED,custom Python script,Split bed files according to clusterings.,hukai916/fastqc_0.11.9:0.1,
,SPLIT_BAM,"SAMtools (v1.11) [7], sinto (v0.7.5) [2]",Split bam files according to clusterings.,hukai916/sinto_xenial:0.2,"[7] Li, H., Handsaker, B., Wysoker, A., Fennell, T., Ruan, J., Homer, N., Marth, G., Abecasis, G., & Durbin, R. (2009). The Sequence Alignment/Map format and SAMtools. Bioinformatics, 25(16), 2078–2079. https://doi.org/10.1093/bioinformatics/btp352
[2] https://timoast.github.io/sinto/"
,MULTIQC,"MultiQC (v1.11) [11], custom Multiqc plugins",generate MultiQC report,hukai916/multiqc:0.1,"[11] Ewels, P., Magnusson, M., Lundin, S., & Käller, M. (2016). MultiQC: summarize analysis results for multiple tools and samples in a single report. Bioinformatics, 32(19), 3047–3048. https://doi.org/10.1093/bioinformatics/btw354"